#Wave	#Intensity
1240	-41.76484
1242	379.74787
1244	11.91936
1246	-47.30376
1248	-456.97609
1250	-497.14747
1252	-280.82209
1254	169.04561
1256	218.52927
1258	635.6856
1260	712.54949
1262	925.1558
1264	1324.53941
1266	1194.7352
1268	1192.77802
1270	1524.70276
1272	1401.54427
1274	976.33743
1276	285.11711
1278	93.91816
1280	16.74693
1282	-106.3996
1284	-385.52616
1286	225.37319
1288	916.34292
1290	1391.40497
1292	1267.58129
1294	1405.89381
1296	1763.36446
1298	1689.0152
1300	1460.86795
1302	2033.94464
1304	2940.26721
1306	3495.85759
1308	3444.7377
1310	3614.92947
1312	3681.45481
1314	3523.33564
1316	3567.59388
1318	3133.25144
1320	3153.33021
1322	3080.8521
1324	2932.83901
1326	3115.31284
1328	3430.29547
1330	3561.80881
1332	3665.87473
1334	3666.51512
1336	3530.75186
1338	3621.60682
1340	3788.10187
1342	4401.25889
1344	5284.09974
1346	5933.64627
1348	6159.92035
1350	5868.94382
1352	5881.73853
1354	5708.3263
1356	5402.72899
1358	4839.9684
1360	4779.06636
1362	4702.04468
1364	4726.92518
1366	4749.72965
1368	4705.47991
1370	5055.19775
1372	4830.90495
1374	4761.62331
1376	5240.37461
1378	5429.18062
1380	5191.06312
1382	4726.04386
1384	4681.14462
1386	4362.38715
1388	3640.7932
1390	3401.38451
1392	3364.18284
1394	3376.20992
1396	3330.48748
1398	3422.03727
1400	3172.88101
1402	3145.04043
1404	2951.53725
1406	2773.39319
1408	3145.62997
1410	2959.2693
1412	2819.33291
1414	2611.84248
1416	2876.81974
1418	2911.28637
1420	2928.2641
1422	3011.7746
1424	3208.83958
1426	3379.48072
1428	2926.71972
1430	2121.57826
1432	2008.07802
1434	2106.24068
1436	2111.08791
1438	1818.64141
1440	2000.92283
1442	1988.95385
1444	1924.75614
1446	927.35137
1448	630.7612
1450	1114.00729
1452	1183.11132
1454	1033.09495
1456	1398.97983
1458	1497.78763
1460	1106.54001
1462	1332.25862
1464	931.96512
1466	669.68117
1468	789.42843
1470	115.22854
1472	-25.89684
1474	372.06242
1476	447.11904
1478	732.24853
1480	1574.42641
1482	1894.6282
1484	1607.82939
1486	1299.00551
1488	792.13206
1490	244.18454
1492	-228.86153
1494	-254.05507
1496	-101.42211
1498	68.03674
1500	508.33098
1502	188.46335
1504	-32.56344
1506	39.23448
1508	125.84423
1510	331.24902
1512	1044.41947
1514	1721.32619
1516	1646.93981
1518	1613.23095
1520	792.17021
1522	176.7282
1524	-372.12445
1526	-122.43481
1528	385.78727
1530	759.54419
1532	1652.83834
1534	1773.67212
1536	1758.04791
1538	891.96812
1540	143.43511
1542	308.4513
1544	-276.99529
1546	145.08339
1548	531.70309
1550	802.86504
1552	972.57048
1554	973.82063
1556	844.61674
1558	1156.96003
1560	1226.85174
1562	538.29309
1564	736.28532
1566	784.82964
1568	109.9273
1570	157.57951
1572	78.77651
1574	-302.50723
1576	320.6949
1578	605.37974
1580	538.54414
1582	756.18496
1584	682.29902
1586	1466.8832
1588	2091.93432
1590	2508.44923
1592	2055.42479
1594	2922.85782
1596	2479.74516
1598	2534.08365
1600	2577.87013
1602	2851.10142
1604	4086.77435
1606	4528.88574
1608	4952.43241
1610	4115.41119
1612	4043.81888
1614	3145.65229
1616	3493.90822
1618	3284.58347
1620	3764.67483
1622	4296.17911
1624	4937.09309
1626	5120.41355
1628	5068.13727
1630	4633.26104
1632	3982.78161
1634	4185.69575
1636	3338.00024
1638	3571.69181
1640	4111.76723
1642	4125.22324
1644	4874.05659
1646	5396.26403
1648	5643.84229
1650	5481.7881
1652	5382.09818
1654	5450.76927
1656	5059.79806
1658	4803.18128
1660	4402.91563
1662	4303.9978
1664	3914.42449
1666	3959.1924
1668	3673.29821
1670	3890.73859
1672	3240.51025
1674	2785.60984
1676	2514.03404
1678	2305.77951
1680	1939.84294
1682	2802.22098
1684	3462.91029
1686	3576.90753
1688	3551.20937
1690	3540.81245
1692	3151.71342
1694	2433.90893
1696	2048.39563
1698	1472.17014
1700	2054.22911
1702	1617.56918
1704	2161.18699
1706	2114.07915
1708	2862.24231
1710	3735.6731
1712	3594.36813
1714	4147.32404
1716	3591.53744
1718	2897.00494
1720	1160.72316
1722	873.6887
1724	-322.10183
1726	195.34818
1728	177.06754
1730	72.06553
1732	1301.33374
1734	1741.85651
1736	2859.61824
1738	2143.60326
1740	3064.79596
1742	2399.18069
1744	2914.74181
1746	2759.46367
1748	1715.33062
1750	1468.32701
1752	1214.43719
1754	1512.64551
1756	506.93631
1758	239.29393
1760	605.70272
1762	851.12308
1764	1128.51543
1766	1484.84019
1768	2003.05776
1770	2072.12856
1772	1920.01299
1774	1668.67145
1776	1264.06435
1778	1358.15209
1780	782.89507
1782	885.25369
1784	1723.18834
1786	1854.65944
1788	864.62736
1790	873.05251
1792	606.89528
1794	396.11605
1796	-231.32477
1798	137.5332
1800	613.67348
1802	1382.06585
1804	1649.68007
1806	1788.48592
1808	1948.45315
1810	1882.55154
1812	1461.75084
1814	1287.02082
1816	1358.33124
1818	651.65185
1820	898.95241
1822	1619.20268
1824	2055.37241
1826	1799.43136
1828	1715.34928
1830	896.09591
1832	-120.35899
1834	108.95431
1836	-629.98238
1838	229.8018
1840	1514.34075
1842	1878.64538
1844	2866.72658
1846	2818.59526
1848	3415.26231
1850	3546.73864
1852	3251.03514
1854	1770.16269
1856	2207.13217
1858	2080.95449
1860	1823.64051
1862	1102.20111
1864	1213.64719
1866	1728.9896
1868	2227.23923
1870	2944.40695
1872	3347.50363
1874	4861.54014
1876	5856.52735
1878	5824.47612
1880	4337.3973
1882	4020.30174
1884	2709.20028
1886	2068.10377
1888	1842.02305
1890	1701.96894
1892	2714.95229
