#Wave	#Intensity
1208	1834.3642
1210	1540.45514
1212	996.48869
1214	711.27521
1216	433.5254
1218	144.87887
1220	112.93183
1222	26.26605
1224	-54.54803
1226	-237.94258
1228	-270.34431
1230	-564.15616
1232	-531.754
1234	-537.45732
1236	-529.53242
1238	-623.19184
1240	-544.59519
1242	-470.83975
1244	-835.96835
1246	-898.97673
1248	-1085.77703
1250	-1202.19151
1252	-996.93382
1254	-695.59743
1256	-541.6761
1258	-254.59402
1260	-31.72124
1262	344.59768
1264	680.02132
1266	736.17383
1268	747.61134
1270	909.81636
1272	755.19667
1274	510.06903
1276	48.6747
1278	-109.79606
1280	-183.15786
1282	-317.21436
1284	-369.75085
1286	277.47905
1288	1057.75873
1290	1700.34381
1292	2074.38415
1294	2499.02959
1296	2996.42999
1298	3493.73519
1300	3995.09504
1302	5339.65939
1304	7331.57805
1306	9218.00088
1308	10617.07769
1310	12020.95829
1312	12846.7925
1314	12586.7301
1316	11923.92087
1318	10186.51458
1320	8429.66098
1322	6606.50983
1324	4769.21085
1326	3454.91377
1328	2586.76832
1330	1758.92423
1332	1332.5312
1334	1028.73896
1336	780.69723
1338	1032.45284
1340	1514.97457
1342	2622.12795
1344	4180.77851
1346	5727.79177
1348	7073.03325
1350	8358.36848
1352	9911.66295
1354	11844.78217
1356	13982.59164
1358	15858.95682
1360	18234.74318
1362	19839.81617
1364	20546.04123
1366	19868.28376
1368	17848.40914
1370	15331.28277
1372	12153.76997
1374	9113.7361
1376	6958.04647
1378	5365.5664
1380	4168.16121
1382	3214.69619
1384	2784.03664
1386	2276.04786
1388	1446.59514
1390	859.54378
1392	524.75905
1394	329.02031
1396	148.05441
1398	157.5553
1400	-94.79785
1402	-76.34166
1404	-200.40324
1406	-391.30207
1408	-142.33762
1410	-152.77019
1412	-249.84587
1414	-388.79547
1416	-178.82482
1418	-284.10084
1420	-248.77262
1422	-281.96079
1424	-129.76114
1426	99.75876
1428	11.5443
1430	-330.4691
1432	-225.34716
1434	-74.12258
1436	-6.80551
1438	-91.39869
1440	-5.90417
1442	-29.31489
1444	-60.62316
1446	-717.81838
1448	-783.8839
1450	-304.73126
1452	-204.19363
1454	-94.07371
1456	275.84623
1458	385.79332
1460	243.96711
1462	388.52857
1464	177.61426
1466	52.32192
1468	104.7315
1470	-392.08228
1472	-341.05516
1474	-104.08367
1476	-158.03026
1478	67.25305
1480	896.93005
1482	1301.15777
1484	1350.00359
1486	1426.53487
1488	1686.81895
1490	2074.9232
1492	2440.91497
1494	3443.86162
1496	4999.83049
1498	6854.88893
1500	9166.10428
1502	11500.54388
1504	14150.27505
1506	16880.36511
1508	19083.88136
1510	20474.89108
1512	21372.46153
1514	21017.65996
1516	19103.55359
1518	16450.20962
1520	13105.69524
1522	9833.0776
1524	6853.42387
1526	4851.80118
1528	3565.27667
1530	2623.91748
1532	2331.79072
1534	1919.96352
1536	1475.50301
1538	743.47631
1540	18.95054
1542	-207.08154
1544	-647.62904
1546	-301.68039
1548	-34.15922
1550	272.04097
1552	473.03011
1554	561.89093
1556	503.65886
1558	520.31313
1560	321.78261
1562	-88.05585
1564	-49.35761
1566	-17.26917
1568	-337.93216
1570	-266.48643
1572	-165.03806
1574	-318.66648
1576	84.56538
1578	214.62647
1580	-76.52273
1582	-356.9432
1584	-779.68826
1586	-725.77554
1588	-561.14471
1590	-327.66286
1592	-488.14095
1594	433.64281
1596	351.95902
1598	598.03493
1600	639.06258
1602	631.17422
1604	1114.43819
1606	1249.85971
1608	1269.44401
1610	472.19629
1612	233.12179
1614	-566.82151
1616	-265.69891
1618	-555.51904
1620	-341.26397
1622	80.1398
1624	568.79988
1626	706.81588
1628	522.2305
1630	177.01581
1632	-138.90838
1634	139.36004
1636	-359.26292
1638	84.12483
1640	894.46126
1642	1354.67598
1644	2646.60913
1646	3607.10083
1648	4433.99124
1650	4980.12048
1652	5124.32868
1654	5040.45597
1656	4200.34247
1658	3447.82829
1660	2587.75353
1662	2092.95831
1664	1241.28273
1666	862.5669
1668	348.6509
1670	355.28859
1672	-261.80106
1674	-767.93458
1676	-980.40236
1678	-831.41797
1680	-1014.09694
1682	-419.47167
1684	56.52685
1686	173.00958
1688	248.08183
1690	288.8316
1692	-82.6779
1694	-397.41237
1696	-419.32921
1698	-673.34611
1700	-3.33881
1702	-99.11572
1704	207.51509
1706	33.75545
1708	526.78644
1710	796.78578
1712	616.87849
1714	945.10993
1716	776.46376
1718	620.82914
1720	-296.98242
1722	-383.2215
1724	-1166.10896
1726	-748.82736
1728	-809.44264
1730	-1009.94587
1732	-189.24717
1734	-46.15564
1736	639.5385
1738	213.04967
1740	818.52833
1742	462.10365
1744	902.82293
1746	756.68726
1748	173.60746
1750	53.41868
1752	-253.06129
1754	0.97998
1756	-752.61975
1758	-891.02283
1760	-556.31634
1762	-287.49827
1764	-159.51098
1766	102.73193
1768	544.33282
1770	727.38374
1772	639.92235
1774	248.91355
1776	149.25824
1778	282.83245
1780	-179.50272
1782	-171.91447
1784	351.44796
1786	547.45254
1788	-46.06794
1790	-121.3354
1792	-337.56718
1794	-274.96847
1796	-741.71072
1798	-739.93786
1800	-473.71966
1802	-103.05191
1804	28.11698
1806	10.84892
1808	231.20298
1810	305.23717
1812	310.98638
1814	47.45494
1816	17.61614
1818	-339.56153
1820	-272.11131
1822	50.96751
1824	253.70285
1826	181.11752
1828	116.20899
1830	-244.04342
1832	-836.67198
1834	-778.68457
1836	-1362.00539
1838	-892.4808
1840	-165.82092
1842	189.35333
1844	714.43764
1846	576.80878
1848	925.77203
1850	1135.57504
1852	847.37285
1854	-38.67949
1856	218.48834
1858	249.95051
1860	186.75936
1862	-370.05777
1864	-473.49222
1866	-202.49832
1868	-75.98306
1870	82.16682
1872	296.0722
1874	1006.84572
1876	1501.57043
1878	1559.22867
1880	675.8028
1882	688.27519
1884	191.56059
1886	-247.49503
1888	-340.0649
1890	-384.29746
1892	2.69283
1894	307.82995
1896	278.0376
1898	-243.7913
1900	-60.79161
1902	-163.07385
1904	-717.74243
1906	-663.88546
1908	-724.51929
1910	-159.59387
1912	112.0133
1914	52.44068
1916	54.81553
1918	381.25985
1920	393.89018
1922	-138.21507
1924	18.98311
1926	-412.46244
1928	-18.50078
1930	39.96027
1932	94.01476
1934	133.75273
1936	651.2548
1938	639.58825
1940	494.75522
1942	484.69388
1944	186.29293
1946	487.39263
1948	54.81457
1950	-238.66838
1952	-398.28882
1954	-569.25552
1956	-881.73737
1958	-837.84639
1960	-787.60637
1962	-179.95737
1964	242.23934
1966	745.14049
1968	1069.87856
1970	1013.51154
1972	693.09741
1974	300.59281
1976	-10.11495
1978	-536.1686
1980	-726.70987
1982	-933.82686
1984	-388.53502
1986	-230.7564
1988	-175.37421
1990	-51.24857
1992	-34.22207
1994	137.86781
1996	550.18704
1998	675.88778
2000	824.06718
2002	1068.75481
2004	908.89783
2006	579.44339
2008	359.24775
2010	123.10925
2012	-200.20973
2014	-123.95909
2016	-120.36872
2018	-332.65612
2020	-577.02675
2022	-950.6528
2024	-880.64876
2026	-476.03406
2028	-275.74006
2030	-168.65052
2032	68.37836
2034	197.50728
2036	63.89007
2038	-98.33918
2040	-217.05276
2042	-132.11315
2044	-254.36109
2046	167.37585
2048	366.29557
2050	456.57921
2052	301.37131
2054	439.77072
2056	532.84616
2058	517.62239
2060	180.07088
2062	-13.88868
2064	-22.35458
2066	-102.42375
2068	-175.19085
2070	-337.74032
2072	-49.13909
2074	123.5797
2076	50.38783
2078	-40.75529
2080	-392.8953
2082	-649.07373
2084	-695.29286
2086	-453.49004
2088	-167.53309
2090	103.75551
2092	244.57003
2094	468.09437
2096	341.48797
2098	277.86348
2100	269.29937
2102	218.84634
2104	47.52817
2106	-99.65327
2108	-143.70083
2110	-174.60742
2112	-330.35158
2114	-279.89437
2116	-93.16383
2118	225.93999
2120	572.52636
2122	758.68196
2124	772.4362
2126	843.74265
2128	646.47761
2130	52.43302
2132	29.33618
2134	-89.09086
2136	-296.12899
2138	-376.05019
2140	-416.09682
2142	-300.47364
2144	-271.3438
2146	-326.84039
2148	-353.06939
2150	-456.10408
2152	-462.98245
2154	-380.69685
2156	-211.19336
2158	-134.37998
2160	238.85641
2162	356.64237
2164	246.08056
2166	201.23799
2168	-106.84293
2170	-672.13994
2172	-600.62007
2174	-646.18315
2176	-322.66895
2178	134.14739
2180	503.52299
2182	660.70154
2184	771.8764
2186	717.17486
2188	445.64701
2190	240.27122
2192	-300.01868
2194	32.68709
2196	85.32832
2198	279.84153
2200	218.15472
2202	-57.83213
2204	-18.24081
2206	-110.18736
2208	-314.78598
2210	-564.13985
2212	-338.32068
2214	-222.34377
2216	2.80943
2218	-209.82032
2220	-188.19252
2222	-4.2457
2224	-210.89957
2226	50.92659
2228	189.33459
2230	143.42113
2232	165.26401
2234	43.92666
2236	-176.54401
2238	-217.10548
2240	-295.69757
2242	-454.2384
2244	154.38349
2246	476.32496
2248	468.72747
2250	569.68482
2252	578.24394
2254	385.3948
2256	111.06954
2258	-26.83823
2260	-306.44602
2262	-167.86864
2264	-63.19027
2266	-118.4783
2268	41.2062
2270	205.81402
2272	238.29181
2274	213.56564
2276	142.53777
2278	-101.91091
2280	-90.91378
2282	-197.59398
2284	-181.06562
2286	-305.423
2288	-321.74234
2290	-168.06932
2292	1.58257
2294	-56.78336
2296	29.83603
2298	58.44958
