#Wave		#Intensity
1800.60156	21.38448
1798.94824	-26.98739
1797.2959	-16.76286
1795.6416	34.77711
1793.98828	-2.76715
1792.33398	15.80469
1790.67871	-60.64159
1789.02344	21.24044
1787.36816	9.31418
1785.71191	5.10813
1784.05566	211.99327
1782.39844	360.06564
1780.74121	439.88311
1779.08398	515.03155
1777.42578	658.55039
1775.76758	879.45345
1774.1084	986.51697
1772.44922	1163.60834
1770.78906	1409.89255
1769.12891	1779.88713
1767.46875	1791.69136
1765.80762	2023.19829
1764.14551	2127.92414
1762.48438	2213.02417
1760.82129	2391.25022
1759.15918	2303.30368
1757.49609	2475.34981
1755.83203	2639.30525
1754.16797	2658.61377
1752.50391	2680.9789
1750.83887	2700.60966
1749.17383	2809.8793
1747.50879	2944.03188
1745.84277	2816.2972
1744.17578	2897.68767
1742.50879	2786.06381
1740.8418	2601.20299
1739.17383	2575.76831
1737.50586	2679.99864
1735.83691	2738.15402
1734.16797	2789.85484
1732.49902	2796.0688
1730.8291	2757.27339
1729.15918	3033.35315
1727.48828	3207.49027
1725.81738	3341.44106
1724.14551	3524.51511
1722.47363	3654.38467
1720.80078	3751.2874
1719.12891	3860.08077
1717.45508	3797.05522
1715.78125	3527.38103
1714.10742	3200.05175
1712.43359	2981.27372
1710.75781	2680.482
1709.08301	2355.78713
1707.40723	2106.98227
1705.73144	1798.78084
1704.05469	1647.23805
1702.37695	1432.67618
1700.70019	1202.7725
1699.02246	1120.37704
1697.34375	848.99571
1695.66504	715.61245
1693.98633	592.55675
1692.30664	499.48792
1690.62695	324.42481
1688.94629	272.19007
1687.26563	43.40232
1685.58398	-22.59128
1683.90234	-54.56629
1682.21973	-2.09138
1680.53809	7.24751
1678.85449	27.868
1677.1709	244.46402
1675.48731	551.61094
1673.80371	848.18188
1672.11816	1483.30355
1670.43359	2115.57032
1668.74805	3214.15615
1667.06152	4434.54906
1665.37598	6185.0854
1663.68848	8830.66406
1662.00195	12968.43208
1660.31348	18935.83892
1658.62598	28151.6808
1656.9375	41812.62815
1655.24805	60540.49685
1653.55859	83213.44637
1651.86914	104104.14038
1650.17871	117220.86948
1648.48828	117475.47319
1646.79688	106271.65812
1645.10547	87591.06861
1643.41406	68163.71254
1641.72168	51056.66897
1640.02832	38364.23255
1638.33496	28560.31398
1636.6416	20956.4447
1634.94727	15859.27149
1633.25293	11991.45431
1631.55762	9130.98568
1629.86231	7123.9723
1628.16699	5336.22954
1626.4707	3849.9923
1624.77344	2226.25659
1623.07617	1269.74035
1621.37891	584.40611
1619.68066	32.62881
1617.98242	-16.43701
1616.2832	-16.31537
1614.58398	501.40011
1612.88477	1572.89562
1611.18457	2923.74372
1609.4834	4421.71049
1607.7832	6195.32236
1606.08106	7189.7156
1604.37988	8513.53633
1602.67676	10259.04476
1600.97461	13740.49808
1599.27148	18253.13732
1597.56738	21428.65487
1595.86328	21886.30225
1594.15918	18134.20125
1592.4541	13578.80028
1590.74805	9929.09725
1589.04297	7828.81198
1587.33691	7770.58236
1585.62988	9393.89787
1583.92285	12478.5489
1582.21484	18321.50286
1580.50684	27762.32502
1578.79883	40906.77248
1577.08984	53354.02208
1575.38086	59785.57275
1573.6709	60172.46155
1571.95996	57425.78371
1570.25	53726.8681
1568.53906	49255.85568
1566.82715	43483.2364
1565.11523	36481.19825
1563.40332	29170.40122
1561.69043	23352.83172
1559.97656	19515.61884
1558.26269	17292.88619
1556.54883	15634.46003
1554.83398	14912.30654
1553.11914	14188.20239
1551.4043	13088.48704
1549.6875	12208.00843
1547.97168	11171.40181
1546.25488	10531.84764
1544.53711	9757.05343
1542.82031	9365.25964
1541.10156	9649.12818
1539.38281	9973.28532
1537.66406	10661.63742
1535.94434	12113.58685
1534.22461	14300.19593
1532.50488	17169.26878
1530.78418	20251.87549
1529.0625	23875.93405
1527.34082	28076.12628
1525.61914	34016.89915
1523.89648	42592.0002
1522.17383	56150.36968
1520.45019	74755.09168
1518.72656	102209.69046
1517.00195	137967.90221
1515.27734	178453.21372
1513.55176	218559.30599
1511.82617	244683.67508
1510.09961	255297.53549
1508.37402	245805.99369
1506.64648	223824.36909
1504.91894	195173.52129
1503.19141	164337.30284
1501.46289	136332.98502
1499.73438	111063.36751
1498.00488	88501.33084
1496.27539	69145.57867
1494.54492	52948.21569
1492.81445	41390.5067
1491.08398	32718.5553
1489.35254	25942.02977
1487.62012	20489.74763
1485.88769	16106.22043
1484.15527	12787.83887
1482.42188	10357.00044
1480.68848	8601.78184
1478.9541	7811.53021
1477.21973	7309.75392
1475.48438	7122.90701
1473.74902	7335.29611
1472.01269	7675.07332
1470.27637	8046.14612
1468.54004	7769.58978
1466.80273	6669.53988
1465.06445	5012.81977
1463.32715	3623.54132
1461.58789	2613.58562
1459.84863	2080.98999
1458.10938	1693.42792
1456.36914	2165.83572
1454.62891	2865.14565
1452.88867	3405.79376
1451.14648	3678.76084
1449.40527	4379.46477
1447.66309	4471.54044
1445.91992	4606.26017
1444.17676	4265.28582
1442.43359	3857.07715
1440.68945	3455.98722
1438.94531	3644.55774
1437.20019	4447.06785
1435.4541	5515.11115
1433.70898	5846.38888
1431.96191	4986.34445
1430.21582	3486.14698
1428.46875	1729.35048
1426.7207	808.71028
1424.97266	1158.43725
1423.22363	2245.21099
1421.47461	3909.3941
1419.72559	5302.81324
1417.97559	5475.43191
1416.22461	4883.63441
1414.47461	3338.1303
1412.72266	1656.92004
1410.9707	507.21139
1409.21875	31.54738
1407.46582	-30.98329
1405.71289	168.23157
1403.95898	942.53792
1402.20508	1628.20648
